,Country,Year,Happiness_score,GDP_capita,Social_support,Life_expectancy,Freedom,Generosity,Corruption_perception
47,Croatia,2023,6.125,1.727,1.455,0.475,0.5,0.087,0.003
48,Brazil,2023,6.125,1.454,1.25,0.387,0.558,0.131,0.137
49,El Salvador,2023,6.122,1.278,1.044,0.383,0.713,0.079,0.222
50,Hungary,2023,6.041,1.754,1.519,0.435,0.501,0.105,0.065
51,Argentina,2023,6.024,1.59,1.388,0.427,0.587,0.088,0.082
52,Honduras,2023,6.023,1.115,1.072,0.341,0.613,0.189,0.062
53,Uzbekistan,2023,6.014,1.227,1.347,0.375,0.74,0.26,0.208
54,Malaysia,2023,6.012,1.665,1.155,0.385,0.659,0.222,0.122
55,Portugal,2023,5.968,1.758,1.356,0.537,0.693,0.031,0.037
56,South Korea,2023,5.951,1.853,1.188,0.603,0.446,0.112,0.163
57,Greece,2023,5.931,1.708,1.247,0.535,0.248,0.008,0.097
58,Mauritius,2023,5.902,1.589,1.382,0.336,0.574,0.121,0.11
59,Thailand,2023,5.843,1.515,1.344,0.461,0.624,0.291,0.013
60,Mongolia,2023,5.84,1.379,1.494,0.244,0.425,0.239,0.058
61,Kyrgyzstan,2023,5.825,1.061,1.439,0.417,0.735,0.234,0.018
62,Moldova,2023,5.819,1.425,1.302,0.375,0.61,0.093,0.02
63,China,2023,5.818,1.51,1.249,0.468,0.666,0.115,0.145
64,Vietnam,2023,5.763,1.349,1.212,0.381,0.741,0.134,0.122
65,Paraguay,2023,5.738,1.428,1.427,0.392,0.678,0.148,0.062
66,Montenegro,2023,5.722,1.537,1.385,0.424,0.563,0.17,0.061
67,Jamaica,2023,5.703,1.305,1.329,0.411,0.587,0.079,0.039
68,Bolivia,2023,5.684,1.24,1.187,0.329,0.648,0.103,0.06
69,Russia,2023,5.661,1.68,1.383,0.366,0.449,0.12,0.091
70,Bosnia and Herzegovina,2023,5.633,1.467,1.361,0.429,0.485,0.247,0.008
71,Colombia,2023,5.63,1.455,1.213,0.486,0.562,0.08,0.068
72,Dominican Republic,2023,5.569,1.536,1.227,0.351,0.623,0.083,0.195
73,Ecuador,2023,5.559,1.343,1.173,0.476,0.56,0.079,0.069
74,Peru,2023,5.526,1.39,1.153,0.499,0.549,0.073,0.027
75,Philippines,2023,5.523,1.238,1.108,0.286,0.714,0.104,0.141
76,Bulgaria,2023,5.466,1.635,1.457,0.408,0.557,0.106,0.013
77,Nepal,2023,5.36,0.979,1.027,0.281,0.567,0.215,0.104
78,Armenia,2023,5.342,1.466,1.134,0.443,0.551,0.053,0.16
79,Tajikistan,2023,5.33,0.972,1.248,0.291,0.599,0.104,0.292
80,Algeria,2023,5.329,1.353,1.298,0.409,0.252,0.073,0.152
81,Hong Kong S.A.R. of China,2023,5.308,1.951,1.201,0.702,0.407,0.123,0.39
82,Albania,2023,5.277,1.449,0.951,0.48,0.549,0.133,0.037
83,Indonesia,2023,5.277,1.384,1.169,0.314,0.663,0.422,0.038
84,South Africa,2023,5.275,1.417,1.428,0.149,0.464,0.09,0.019
85,Congo (Brazzaville),2023,5.267,0.921,0.665,0.145,0.464,0.134,0.136
86,North Macedonia,2023,5.254,1.498,1.171,0.408,0.515,0.207,0.02
87,Venezuela,2023,5.211,0.0,1.257,0.341,0.369,0.205,0.084
88,Laos,2023,5.111,1.232,0.853,0.257,0.715,0.185,0.162
89,Georgia,2023,5.109,1.477,0.947,0.366,0.539,0.0,0.201
90,Guinea,2023,5.072,0.844,0.776,0.072,0.369,0.204,0.102
91,Ukraine,2023,5.071,1.358,1.354,0.355,0.551,0.265,0.016
92,Ivory Coast,2023,5.053,1.094,0.584,0.12,0.467,0.138,0.131
93,Gabon,2023,5.035,1.438,1.021,0.183,0.346,0.036,0.102
94,Nigeria,2023,4.981,1.065,1.007,0.092,0.448,0.176,0.013
95,Cameroon,2023,4.973,0.965,0.871,0.118,0.405,0.144,0.059
96,Mozambique,2023,4.954,0.57,0.885,0.0,0.625,0.161,0.192
97,Iraq,2023,4.941,1.281,0.953,0.324,0.351,0.134,0.038
98,State of Palestine,2023,4.908,1.144,1.309,,0.416,0.065,0.067
99,Morocco,2023,4.903,1.236,0.535,0.337,0.54,0.013,0.085
100,Iran,2023,4.876,1.465,1.102,0.411,0.281,0.229,0.13
101,Senegal,2023,4.855,0.943,0.727,0.231,0.519,0.142,0.06
102,Mauritania,2023,4.724,1.099,0.764,0.244,0.32,0.13,0.195
103,Burkina Faso,2023,4.638,0.768,0.814,0.107,0.419,0.188,0.113
104,Namibia,2023,4.631,1.289,1.126,0.145,0.383,0.069,0.071
105,Turkiye,2023,4.614,1.714,1.148,0.467,0.125,0.095,0.096
106,Ghana,2023,4.605,1.101,0.756,0.197,0.526,0.211,0.035
107,Pakistan,2023,4.555,1.081,0.657,0.158,0.511,0.141,0.102
108,Niger,2023,4.501,0.561,0.628,0.137,0.54,0.154,0.14
109,Tunisia,2023,4.497,1.333,0.981,0.422,0.259,0.022,0.016
110,Kenya,2023,4.487,1.051,0.881,0.19,0.418,0.291,0.055
111,Sri Lanka,2023,4.442,1.422,1.224,0.426,0.539,0.12,0.086
112,Uganda,2023,4.432,0.785,1.144,0.201,0.425,0.197,0.051
113,Chad,2023,4.397,0.622,0.962,0.043,0.393,0.255,0.088
114,Cambodia,2023,4.393,1.025,1.024,0.283,0.768,0.176,0.051
115,Benin,2023,4.374,0.924,0.242,0.124,0.481,0.114,0.253
116,Myanmar,2023,4.372,1.032,1.125,0.269,0.46,0.4,0.194
117,Bangladesh,2023,4.282,1.133,0.513,0.355,0.617,0.139,0.165
